支払日,銘柄,配当金額(USD),源泉徴収(USD),為替レート,配当金額(円),源泉徴収(円),種別
2025-12-04,TLT,6.41,-0.64,154.77,992,-99,DIVIDEND
2025-12-12,SONY,4.04,-0.82,155.99,630,-128,DIVIDEND
2025-12-23,VYM,30.24,,156.02,"4,718",,DIVIDEND
2025-12-24,TLT,6.85,-0.69,155.96,"1,068",-108,DIVIDEND
2025-12-24,VOO,11.53,-1.15,155.96,"1,798",-179,DIVIDEND
2025-12-24,AGG,6.93,-0.69,155.96,"1,081",-108,DIVIDEND
2025-12-31,EMLC,11.25,,155.96,"1,755",,DIVIDEND
2025-01-13,,1.83,-0.18,157.11,288,-28,INTEREST
2025-01-16,,0.86,,156.21,134,,INTEREST
2025-02-11,,1.59,-0.16,152.34,242,-24,INTEREST
2025-02-18,,1.79,,151.77,272,,INTEREST
2025-03-12,,2.05,-0.21,149.03,306,-31,INTEREST
2025-03-17,,1.63,,148.82,243,,INTEREST
2025-04-11,,2.31,-0.23,142.84,330,-33,INTEREST
2025-04-16,,1.82,,142.75,260,,INTEREST
2025-05-13,,2.41,-0.24,148.14,357,-36,INTEREST
2025-05-16,,1.10,,145.66,160,,INTEREST
2025-06-11,,2.46,-0.25,145.34,358,-36,INTEREST
2025-06-16,,0.93,,144.19,134,,INTEREST
2025-07-10,,3.43,-0.34,146.32,502,-50,INTEREST
2025-07-16,,0.32,,148.73,48,,INTEREST
2025-08-13,,2.76,-0.28,147.27,406,-41,INTEREST
2025-08-18,,0.35,,147.58,52,,INTEREST
2025-09-09,,2.45,-0.25,146.76,360,-37,INTEREST
2025-09-16,,0.31,,146.99,46,,INTEREST
2025-10-14,,2.08,-0.21,152.10,316,-32,INTEREST
2025-10-16,,0.14,,151.28,21,,INTEREST
2025-11-13,,2.17,-0.22,154.55,335,-34,INTEREST
2025-11-17,,2.61,,154.90,404,,INTEREST
2025-12-12,,0.41,-0.04,155.99,64,-6,INTEREST
2025-12-16,,0.38,,154.61,59,,INTEREST
2025-12-31,,0.14,,155.96,22,,INTEREST
,,,,,,,
年間合計,,1840.18,-132.54,,"274,524","-19,809",
,,,,,,,
01月計,,244.62,-24.37,,"38,550","-3,841",
02月計,,78.76,-5.03,,"12,010",-767,
03月計,,223.72,-11.24,,"33,340","-1,672",
04月計,,87.71,-5.78,,"12,759",-842,
05月計,,81.24,-5.20,,"11,625",-745,
06月計,,386.74,-26.30,,"56,125","-3,822",
07月計,,134.70,-10.68,,"19,529","-1,547",
08月計,,83.30,-5.34,,"12,291",-788,
09月計,,200.71,-16.48,,"29,690","-2,438",
10月計,,121.82,-12.16,,"18,124","-1,809",
11月計,,83.72,-5.25,,"12,866",-807,
12月計,,113.14,-4.71,,"17,614",-733,
